query	label	table
on  this saturday for Karen Martinez near Great Buddha Statue  find a expensive stay in guest house	O  B-date_relative B-day_name O  B-person_name  I-person_name  O  B-landmark  I-landmark  I-landmark  O O  B-cost_relative O O B-hotel_type I-hotel_type	<NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-landmark  I-landmark  I-landmark  <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-hotel_type I-hotel_type
on  this thursday for Robert Williams near Mapro Garden  find a cheap stay in inn	O  B-date_relative B-day_name O  B-person_name  I-person_name  O  B-landmark  I-landmark  O O  B-cost_relative O O B-hotel_type	<NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-landmark  I-landmark  <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-hotel_type
on  this friday for Meredith Hill near Mahabaleshwar Temple  find a cheap stay in lodge	O  B-date_relative B-day_name O  B-person_name  I-person_name  O  B-landmark  I-landmark  O O  B-cost_relative O O B-hotel_type	<NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-landmark  I-landmark  <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-hotel_type
on after 2 days for Carla Schmidt near CEPT University  find a cheap stay in homestay	O  B-date_relative  I-date_relative  I-date_relative  O  B-person_name  I-person_name  O  B-landmark  I-landmark  O O  B-cost_relative O O B-hotel_type	<NOTABLE>  B-date_relative  I-date_relative  I-date_relative  <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-landmark  I-landmark  <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-hotel_type
on this week for Lisa Fletcher near Vaishno Devi  find a cheap stay in Holiday parks	O  B-date_relative  I-date_relative  O  B-person_name  I-person_name  O  B-landmark  I-landmark  O O  B-cost_relative O O B-hotel_type I-hotel_type	<NOTABLE>  B-date_relative  I-date_relative  <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-landmark  I-landmark  <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-hotel_type I-hotel_type
on  this tuesday for Jennifer Adams near Brookefields Mall  find a expensive stay in Country houses	O  B-date_relative B-day_name O  B-person_name  I-person_name  O  B-landmark  I-landmark  O O  B-cost_relative O O B-hotel_type I-hotel_type	<NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-landmark  I-landmark  <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-hotel_type I-hotel_type
on  this wednesday for Rachel Hawkins near  Infantaria  find a expensive stay in resort	O  B-date_relative B-day_name O  B-person_name  I-person_name  O  B-landmark  O O  B-cost_relative O O B-hotel_type	<NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE>  B-landmark  <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-hotel_type
i am looking for a expensive stay in Dhubri on  this monday for Jessica Stewart and preferably Lodge	O O O O O  B-cost_relative O O B-city_name  O  B-date_relative B-day_name O  B-person_name  I-person_name  O O B-hotel_type	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  <NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE> <NOTABLE> B-hotel_type
i am looking for a cheap stay in Mau on tomorrow for Karen Ingram and preferably Country houses	O O O O O  B-cost_relative O O B-city_name  O  B-date_relative   O  B-person_name  I-person_name  O O B-hotel_type I-hotel_type	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  <NOTABLE>  B-date_relative   <NOTABLE>  B-person_name  I-person_name  <NOTABLE> <NOTABLE> B-hotel_type I-hotel_type
i am looking for a expensive stay in Jharsuguda on  this saturday for Sheila Khan and preferably Country houses	O O O O O  B-cost_relative O O B-city_name  O  B-date_relative B-day_name O  B-person_name  I-person_name  O O B-hotel_type I-hotel_type	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  <NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE> <NOTABLE> B-hotel_type I-hotel_type
i am looking for a cheap stay in Pattinam on  this saturday for William Barber and preferably Chalet	O O O O O  B-cost_relative O O B-city_name  O  B-date_relative B-day_name O  B-person_name  I-person_name  O O B-hotel_type	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  <NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE> <NOTABLE> B-hotel_type
i am looking for a expensive stay in Adilabad on  this tuesday for Cody Hernandez and preferably Guest house	O O O O O  B-cost_relative O O B-city_name  O  B-date_relative B-day_name O  B-person_name  I-person_name  O O B-hotel_type I-hotel_type	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  <NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE> <NOTABLE> B-hotel_type I-hotel_type
i am looking for a cheap stay in Mahesana on  this tuesday for Bryan Scott and preferably Resort	O O O O O  B-cost_relative O O B-city_name  O  B-date_relative B-day_name O  B-person_name  I-person_name  O O B-hotel_type	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  <NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE> <NOTABLE> B-hotel_type
i am looking for a expensive stay in Pattinam on this week for Debra Ryan and preferably motel	O O O O O  B-cost_relative O O B-city_name  O  B-date_relative  I-date_relative  O  B-person_name  I-person_name  O O B-hotel_type	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  <NOTABLE>  B-date_relative  I-date_relative  <NOTABLE>  B-person_name  I-person_name  <NOTABLE> <NOTABLE> B-hotel_type
i am looking for a cheap stay in Bastar on  this thursday for Dwayne Bradley and preferably Country houses	O O O O O  B-cost_relative O O B-city_name  O  B-date_relative B-day_name O  B-person_name  I-person_name  O O B-hotel_type I-hotel_type	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  <NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE> <NOTABLE> B-hotel_type I-hotel_type
i am looking for a cheap stay in Adampur on day after tomorrow for Michael Love and preferably Luxury tents	O O O O O  B-cost_relative O O B-city_name  O  B-date_relative I-date_relative I-date_relative O  B-person_name  I-person_name  O O B-hotel_type I-hotel_type	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  <NOTABLE>  B-date_relative I-date_relative I-date_relative  <NOTABLE>  B-person_name  I-person_name  <NOTABLE> <NOTABLE> B-hotel_type I-hotel_type
i am looking for a expensive stay in Adampur on  this sunday for Christine Powell and preferably Hostel	O O O O O  B-cost_relative O O B-city_name  O  B-date_relative B-day_name O  B-person_name  I-person_name  O O B-hotel_type	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> <NOTABLE> <NOTABLE> B-city_name  <NOTABLE>  B-date_relative B-day_name <NOTABLE>  B-person_name  I-person_name  <NOTABLE> <NOTABLE> B-hotel_type
i want a cheap guest house on 20 March 2050 for twelve days near Sree Padmanabhaswamy Temple 	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i want a cheap homestay on 24 December for 9 days near Manakula Vinayagar Temple 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i want a expensive Farm stay on twenty two December for 22 days near Manakula Vinayagar Temple 	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  I-day_number  B-month_name  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i want a expensive lodging on twenty five October for six days near Mysore Zoo 	O O O  B-cost_relative B-hotel_type O  B-day_number  I-day_number  B-month_name  O  B-days  I-days  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark 
i want a cheap Chalet on twenty three January 2060 for thirty days near Raja Seat 	O O O  B-cost_relative B-hotel_type O  B-day_number  I-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark 
i want a expensive Campsite on thirty February 2055 for 11 days near Sivagiri Mutt 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark 
i want a expensive Chalet on 18 April for two  days near Huda City Centre 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i want a expensive Luxury tents on fourteen August for 20 days near Bryant Park 	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark 
i want a cheap Hostel on seven February 2069 for seventeen days near Bapu Bazar 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark 
i want a expensive lodging on ten April 2027 for 10 days near Adi Kumbeswarar Temple 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i need a expensive Economy hotels on 13 July for four days in Maunathbanjan	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i need a expensive guest house on thirteen October 2072 for thirteen days in Lucknow	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i need a expensive Resort on 14 May 2057 for 28 days in Patan	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i need a expensive Holiday homes on thirty November for fifteen days in Canacona	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i need a cheap Homestay on twenty eight June 2054 for 15 days in Hosur	O O O  B-cost_relative B-hotel_type O  B-day_number  I-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i need a expensive Country houses on twenty nine September for 19 days in Faridabad	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  I-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i need a cheap Apartment on 13 November 2041 for thirty one days in Aruppukottai	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  I-days  <NOTABLE> B-city_name 
i need a cheap Love hotel on 18 October 2045 for 1 days in Mandya	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i need a expensive Holiday homes on twenty six December for 20 days in Sundargarh	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  I-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i need a cheap Luxury tents on 2 September for 24 days in Itanagar	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
find me a expensive lodge on 8 April for nine days near Shree Swaminarayan Temple 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
find me a cheap homestay on 11 April 2016 for 3 days near Kailasa Giri 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark 
find me a cheap motel on six September 2053 for 3 days near Deltin Royale Casino 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
find me a expensive Campsite on three April 2022 for three days near Ana Sagar Lake 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
find me a expensive lodging on 30 November for four days near Mandore Gardens 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark 
find me a expensive resort on twenty two October for six days near Cubbon Park 	O O O  B-cost_relative B-hotel_type O  B-day_number  I-day_number  B-month_name  O  B-days  I-days  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark 
find me a cheap guest house on twenty March 2078 for two  days near Ambience Mall 	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark 
find me a cheap Campsite on eleven June 2067 for 17 days near Kuthiramalika Palace 	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark 
find me a expensive Holiday parks on 9 July for 5 days near The Celebration Mall 	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
find me a cheap Farm stay on 9 November 2040 for 11 days near Sri Ranganathaswamy Temple 	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
i want a cheap Motel on twenty three July 2034 for six days in Arrah	O O O  B-cost_relative B-hotel_type O  B-day_number  I-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i want a cheap Guest house on seven October for nine days in Moradabad	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i want a expensive Apartment on twenty two June 2065 for 18 days in Kanpur	O O O  B-cost_relative B-hotel_type O  B-day_number  I-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i want a cheap resort on three January 2053 for 10 days in Latur	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i want a expensive guest house on thirty one January 2073 for twenty four days in Dodballapur	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  I-day_number  B-month_name B-year  O  B-days  I-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  I-days  <NOTABLE> B-city_name 
i want a expensive motel on 14 June 2065 for eight days in Satara	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i want a expensive Chalet on 28 November 2089 for 22 days in Jaipur	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i want a cheap suite on 18 February 2046 for 21 days in Pattukkottai	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i want a cheap Luxury tents on 16 October for 30 days in Kalahandi	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i want a cheap Country houses on nine July 2041 for one days in Navsari	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
look for a cheap resort on thirty May 2060 for 3 days in Erode	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
look for a cheap Hostel on 4 January 2080 for six days in Secundarabad	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
look for a expensive guest house on twenty three December for twenty five days in Jhajjar	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  I-day_number  B-month_name  O  B-days  I-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  I-day_number  B-month_name  <NOTABLE>  B-days  I-days  I-days  <NOTABLE> B-city_name 
look for a cheap lodge on 15 November 2045 for seven days in Kollidam	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
look for a expensive Love hotel on 31 October for one days in Mapusa	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
look for a cheap inn on five March 2086 for 15 days in Kheda	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
look for a cheap Country houses on 3 November for 21 days in Khambhaliya	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
look for a expensive resort on one July 2032 for 22 days in Navalgund	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
look for a expensive Campsite on 16 March for twenty days in Bilaspur	O O O  B-cost_relative B-hotel_type O  B-day_number  B-month_name  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type <NOTABLE>  B-day_number  B-month_name  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
look for a cheap Love hotel on twenty October 2071 for 19 days in Karnal	O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O B-city_name 	<NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE> B-city_name 
i want to stay in a expensive Country houses on eight April 2051 for 16 days near Aga Khan Palace 	O O O O O O  B-cost_relative B-hotel_type I-hotel_type O  B-day_number  B-month_name B-year  O  B-days  I-days  O  B-landmark  I-landmark  I-landmark 	<NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE> <NOTABLE>  <NOTABLE> B-hotel_type I-hotel_type <NOTABLE>  B-day_number  B-month_name B-year  <NOTABLE>  B-days  I-days  <NOTABLE>  B-landmark  I-landmark  I-landmark 
